what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019872066
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450019877140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020191605
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020209280
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020212917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020252958
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020255437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020258911
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020311139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020318567
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020324473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020326218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020361899
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020366693
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020376692
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020390999
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020398818
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020416823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020421978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020550123
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020558486
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450020575990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020583549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020630544
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020637203
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020665189
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020672984
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020682226
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450020684414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450020695940
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021450798
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450021453154
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450021453154
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450021454481
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450021455079
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450021456485
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450021457390
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1450021457390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021465329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021467326
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1450021467331
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1450021467331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021482610
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021502448
opened,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1450021505262
activated,view,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui.TypeHierarchy",1450021505311
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1450021506327
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021507512
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021508756
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021508893
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1450021509797
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1450021509911
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1450021509911
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1450021509911
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1450021509983
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1450021510051
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1450021510051
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1450021510051
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1450021510051
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1450021510051
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1450021510051
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1450021510051
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1450021510136
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1450021510211
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1450021510299
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1450021510299
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1450021510379
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1450021748135
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1450021748138
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1450021748140
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1450021748204
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1450021748206
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1450021748208
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1450021748210
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1450021748212
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1450021748214
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1450021748215
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1450021748217
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1450021748219
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1450021748221
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1450021748262
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1450021748263
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1450021748274
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1450021748308
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1450021748310
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql",1450021748311
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1450021748312
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1450021748347
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1450021748403
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1450021748403
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1450021748404
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1450021748405
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1450021748405
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1450021748406
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1450021748406
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1450021748407
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1450021748408
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1450021748409
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1450021748410
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1450021748411
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1450021748411
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1450021748453
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1450021748454
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1450021748454
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1450021748455
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1450021748455
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1450021748502
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1450021748502
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1450021748503
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1450021748503
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1450021748549
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1450021748596
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1450021748598
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1450021748636
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1450021748687
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1450021748689
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1450021748750
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1450021748752
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1450021748813
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1450021748814
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1450021748815
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1450021748832
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1450021748835
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1450021748837
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1450021748895
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1450021748895
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1450021748896
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1450021748896
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1450021748897
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1450021748899
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1450021748900
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1450021748900
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1450021748901
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1450021748901
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1450021748902
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1450021748902
os,sysinfo,,,"win32",1450021748905
arch,sysinfo,,,"x86_64",1450021748905
ws,sysinfo,,,"win32",1450021748905
locale,sysinfo,,,"fr_FR",1450021748905
processors,sysinfo,,,"4",1450021748905
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1450021748905
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1450021748905
java.specification.name,sysinfo,,,"Java Platform API Specification",1450021748905
java.specification.vendor,sysinfo,,,"Oracle Corporation",1450021748905
java.specification.version,sysinfo,,,"1.8",1450021748905
java.vendor,sysinfo,,,"Oracle Corporation",1450021748905
java.version,sysinfo,,,"1.8.0_65",1450021748905
java.vm.info,sysinfo,,,"mixed mode",1450021748905
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1450021748905
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1450021748906
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1450021748906
java.vm.specification.version,sysinfo,,,"1.8",1450021748906
java.vm.vendor,sysinfo,,,"Oracle Corporation",1450021748906
java.vm.version,sysinfo,,,"25.65-b01",1450021748906
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1450021749059
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1450021750356
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1450021750361
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1450021750653
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1450021750829
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1450021750985
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1450021751087
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1450021751135
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1450021751317
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1450021751334
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1450021751405
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1450021751474
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1450021751710
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1450021751713
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1450021751786
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1450021751855
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1450021752654
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1450021752725
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1450021752771
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1450021752863
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1450021753137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021760789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021772209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021774176
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021779253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021780475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021787514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021790573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021888327
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021891303
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021892670
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1450021892769
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1450021894842
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1450021894843
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1450021894844
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1450021894844
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1450021894845
